Crop,Disease,Crop_Stage,Symptoms Category,Occurrences,Is_Dominant,Temp_min (Deg. Celcius),Temp_max (Deg. Celcius),Humidity (in %),Rainfall(in mm),Symptoms,Prevention,Treatment
Apple,Apple_scab,Vegetative,Leaf spot,173,TRUE,15.02,34.35,70.24,116.49,"Olive-green to brown velvety or scab-like lesions on upper leaf surface | Dark, sooty, circular spots with feathery margins on leaves | Yellowing of leaf tissue surrounding lesions | Premature defoliation in severe infections | Raised, corky, dark scab lesions on fruit surface | Distorted or cracked fruit skin | Black, slightly raised spots on young shoots and twigs | Infected leaves may curl and drop early","Plant scab-resistant apple varieties (Liberty, Freedom, Enterprise) | Rake and destroy fallen leaves before spring to eliminate overwintering spores | Prune trees to open canopy and improve air circulation | Avoid overhead irrigation — use drip irrigation to keep foliage dry | Remove mummified or infected fruits from tree and ground | Maintain orchard sanitation — clear debris after each season | Avoid excessive nitrogen fertilisation that encourages dense susceptible growth | Remove and destroy any visibly infected leaves or shoots at the very first sign","Captan (50 WP) at 2.5 g/L — apply every 7–10 days during wet periods | Mancozeb (Dithane M-45 75 WP) at 2.5 g/L — broad contact fungicide | Myclobutanil (Rally 40 WP) at 0.4 g/L — systemic, curative up to 96 hrs post-infection | Difenoconazole (Score 250 EC) at 0.5 mL/L — highly systemic DMI fungicide | Trifloxystrobin + Tebuconazole (Nativo 75 WG) at 0.5 g/L — broad-spectrum systemic | Kresoxim-methyl (Stroby WG) at 0.15 g/L — strobilurin with curative activity | Lime-sulfur spray at dormant stage to kill overwintering spores on bark | Rotate fungicide classes each application to prevent resistance build-up"
Apple,Apple_scab,Maturity,Leaf spot,156,FALSE,15.27,34.48,69.13,115.96,"Olive-green to brown velvety or scab-like lesions on upper leaf surface | Dark, sooty, circular spots with feathery margins on leaves | Yellowing of leaf tissue surrounding lesions | Premature defoliation in severe infections | Raised, corky, dark scab lesions on fruit surface | Distorted or cracked fruit skin | Black, slightly raised spots on young shoots and twigs | Infected leaves may curl and drop early","Plant scab-resistant apple varieties (Liberty, Freedom, Enterprise) | Rake and destroy fallen leaves before spring to eliminate overwintering spores | Prune trees to open canopy and improve air circulation | Avoid overhead irrigation — use drip irrigation to keep foliage dry | Remove mummified or infected fruits from tree and ground | Maintain orchard sanitation — clear debris after each season | Avoid excessive nitrogen fertilisation that encourages dense susceptible growth | Remove and destroy any visibly infected leaves or shoots at the very first sign","Captan (50 WP) at 2.5 g/L — apply every 7–10 days during wet periods | Mancozeb (Dithane M-45 75 WP) at 2.5 g/L — broad contact fungicide | Myclobutanil (Rally 40 WP) at 0.4 g/L — systemic, curative up to 96 hrs post-infection | Difenoconazole (Score 250 EC) at 0.5 mL/L — highly systemic DMI fungicide | Trifloxystrobin + Tebuconazole (Nativo 75 WG) at 0.5 g/L — broad-spectrum systemic | Kresoxim-methyl (Stroby WG) at 0.15 g/L — strobilurin with curative activity | Lime-sulfur spray at dormant stage to kill overwintering spores on bark | Rotate fungicide classes each application to prevent resistance build-up"
Apple,Apple_scab,Flowering,Leaf spot,154,FALSE,15.63,33.22,69.51,113.97,"Olive-green to brown velvety or scab-like lesions on upper leaf surface | Dark, sooty, circular spots with feathery margins on leaves | Yellowing of leaf tissue surrounding lesions | Premature defoliation in severe infections | Raised, corky, dark scab lesions on fruit surface | Distorted or cracked fruit skin | Black, slightly raised spots on young shoots and twigs | Infected leaves may curl and drop early","Plant scab-resistant apple varieties (Liberty, Freedom, Enterprise) | Rake and destroy fallen leaves before spring to eliminate overwintering spores | Prune trees to open canopy and improve air circulation | Avoid overhead irrigation — use drip irrigation to keep foliage dry | Remove mummified or infected fruits from tree and ground | Maintain orchard sanitation — clear debris after each season | Avoid excessive nitrogen fertilisation that encourages dense susceptible growth | Remove and destroy any visibly infected leaves or shoots at the very first sign","Captan (50 WP) at 2.5 g/L — apply every 7–10 days during wet periods | Mancozeb (Dithane M-45 75 WP) at 2.5 g/L — broad contact fungicide | Myclobutanil (Rally 40 WP) at 0.4 g/L — systemic, curative up to 96 hrs post-infection | Difenoconazole (Score 250 EC) at 0.5 mL/L — highly systemic DMI fungicide | Trifloxystrobin + Tebuconazole (Nativo 75 WG) at 0.5 g/L — broad-spectrum systemic | Kresoxim-methyl (Stroby WG) at 0.15 g/L — strobilurin with curative activity | Lime-sulfur spray at dormant stage to kill overwintering spores on bark | Rotate fungicide classes each application to prevent resistance build-up"
Apple,Apple_scab,Fruiting,Leaf spot,152,FALSE,15.31,32.72,67.7,109.95,"Olive-green to brown velvety or scab-like lesions on upper leaf surface | Dark, sooty, circular spots with feathery margins on leaves | Yellowing of leaf tissue surrounding lesions | Premature defoliation in severe infections | Raised, corky, dark scab lesions on fruit surface | Distorted or cracked fruit skin | Black, slightly raised spots on young shoots and twigs | Infected leaves may curl and drop early","Plant scab-resistant apple varieties (Liberty, Freedom, Enterprise) | Rake and destroy fallen leaves before spring to eliminate overwintering spores | Prune trees to open canopy and improve air circulation | Avoid overhead irrigation — use drip irrigation to keep foliage dry | Remove mummified or infected fruits from tree and ground | Maintain orchard sanitation — clear debris after each season | Avoid excessive nitrogen fertilisation that encourages dense susceptible growth | Remove and destroy any visibly infected leaves or shoots at the very first sign","Captan (50 WP) at 2.5 g/L — apply every 7–10 days during wet periods | Mancozeb (Dithane M-45 75 WP) at 2.5 g/L — broad contact fungicide | Myclobutanil (Rally 40 WP) at 0.4 g/L — systemic, curative up to 96 hrs post-infection | Difenoconazole (Score 250 EC) at 0.5 mL/L — highly systemic DMI fungicide | Trifloxystrobin + Tebuconazole (Nativo 75 WG) at 0.5 g/L — broad-spectrum systemic | Kresoxim-methyl (Stroby WG) at 0.15 g/L — strobilurin with curative activity | Lime-sulfur spray at dormant stage to kill overwintering spores on bark | Rotate fungicide classes each application to prevent resistance build-up"
Apple,Apple_scab,Seedling,Leaf spot,125,FALSE,15.0,33.47,70.41,121.28,"Olive-green to brown velvety or scab-like lesions on upper leaf surface | Dark, sooty, circular spots with feathery margins on leaves | Yellowing of leaf tissue surrounding lesions | Premature defoliation in severe infections | Raised, corky, dark scab lesions on fruit surface | Distorted or cracked fruit skin | Black, slightly raised spots on young shoots and twigs | Infected leaves may curl and drop early","Plant scab-resistant apple varieties (Liberty, Freedom, Enterprise) | Rake and destroy fallen leaves before spring to eliminate overwintering spores | Prune trees to open canopy and improve air circulation | Avoid overhead irrigation — use drip irrigation to keep foliage dry | Remove mummified or infected fruits from tree and ground | Maintain orchard sanitation — clear debris after each season | Avoid excessive nitrogen fertilisation that encourages dense susceptible growth | Remove and destroy any visibly infected leaves or shoots at the very first sign","Captan (50 WP) at 2.5 g/L — apply every 7–10 days during wet periods | Mancozeb (Dithane M-45 75 WP) at 2.5 g/L — broad contact fungicide | Myclobutanil (Rally 40 WP) at 0.4 g/L — systemic, curative up to 96 hrs post-infection | Difenoconazole (Score 250 EC) at 0.5 mL/L — highly systemic DMI fungicide | Trifloxystrobin + Tebuconazole (Nativo 75 WG) at 0.5 g/L — broad-spectrum systemic | Kresoxim-methyl (Stroby WG) at 0.15 g/L — strobilurin with curative activity | Lime-sulfur spray at dormant stage to kill overwintering spores on bark | Rotate fungicide classes each application to prevent resistance build-up"
Apple,Black_rot,Flowering,Rot,171,TRUE,15.02,33.57,67.52,105.32,"Circular, purple to brown leaf spots with lighter tan centers (frog-eye appearance) | Leaf spots may have a yellow halo around the lesion | Small, black pycnidia (fungal fruiting bodies) visible within leaf spots | Cankers on branches — orange-brown, sunken, elliptical with rough cracked bark | Fruit rot starting as small purple spots enlarging to firm, black, mummified fruit | Alternating black and brown concentric rings on infected fruit | Mummified black fruit may remain attached to tree | Twig dieback with reddish-brown discoloration under bark",Remove and destroy mummified fruits from trees and orchard floor | Prune dead or diseased wood at least 15 cm below visible infection | Disinfect pruning tools with 70% alcohol between cuts to avoid spreading | Remove nearby wild or abandoned apple and crabapple trees | Ensure good air circulation through proper tree spacing | Remove and dispose of any infected leaves or fruit at first sign of disease | Avoid wounding trees during pruning — wounds are entry points for the fungus | Plant less-susceptible apple varieties in areas with high disease history,"Captan (50 WP) at 2.5 g/L — apply every 10–14 days from pink stage through harvest | Mancozeb (Dithane M-45) at 2.5 g/L — contact protectant, ensure full coverage | Thiophanate-methyl (Topsin-M 70 WP) at 1 g/L — systemic benzimidazole fungicide | Trifloxystrobin (Flint 50 WG) at 0.1 g/L — strobilurin effective on fruit and foliage | Copper oxychloride (50 WP) at 3 g/L — effective on canker lesions on branches | Bordeaux mixture (1%) — spray on cankers during early season | Ziram (76 DF) at 3 g/L — contact fungicide in rotation programs | Apply fertiliser to maintain tree vigour and support recovery"
Apple,Black_rot,Vegetative,Rot,166,FALSE,15.39,34.1,65.99,101.17,"Circular, purple to brown leaf spots with lighter tan centers (frog-eye appearance) | Leaf spots may have a yellow halo around the lesion | Small, black pycnidia (fungal fruiting bodies) visible within leaf spots | Cankers on branches — orange-brown, sunken, elliptical with rough cracked bark | Fruit rot starting as small purple spots enlarging to firm, black, mummified fruit | Alternating black and brown concentric rings on infected fruit | Mummified black fruit may remain attached to tree | Twig dieback with reddish-brown discoloration under bark",Remove and destroy mummified fruits from trees and orchard floor | Prune dead or diseased wood at least 15 cm below visible infection | Disinfect pruning tools with 70% alcohol between cuts to avoid spreading | Remove nearby wild or abandoned apple and crabapple trees | Ensure good air circulation through proper tree spacing | Remove and dispose of any infected leaves or fruit at first sign of disease | Avoid wounding trees during pruning — wounds are entry points for the fungus | Plant less-susceptible apple varieties in areas with high disease history,"Captan (50 WP) at 2.5 g/L — apply every 10–14 days from pink stage through harvest | Mancozeb (Dithane M-45) at 2.5 g/L — contact protectant, ensure full coverage | Thiophanate-methyl (Topsin-M 70 WP) at 1 g/L — systemic benzimidazole fungicide | Trifloxystrobin (Flint 50 WG) at 0.1 g/L — strobilurin effective on fruit and foliage | Copper oxychloride (50 WP) at 3 g/L — effective on canker lesions on branches | Bordeaux mixture (1%) — spray on cankers during early season | Ziram (76 DF) at 3 g/L — contact fungicide in rotation programs | Apply fertiliser to maintain tree vigour and support recovery"
Apple,Black_rot,Seedling,Rot,157,FALSE,15.32,32.69,66.52,100.51,"Circular, purple to brown leaf spots with lighter tan centers (frog-eye appearance) | Leaf spots may have a yellow halo around the lesion | Small, black pycnidia (fungal fruiting bodies) visible within leaf spots | Cankers on branches — orange-brown, sunken, elliptical with rough cracked bark | Fruit rot starting as small purple spots enlarging to firm, black, mummified fruit | Alternating black and brown concentric rings on infected fruit | Mummified black fruit may remain attached to tree | Twig dieback with reddish-brown discoloration under bark",Remove and destroy mummified fruits from trees and orchard floor | Prune dead or diseased wood at least 15 cm below visible infection | Disinfect pruning tools with 70% alcohol between cuts to avoid spreading | Remove nearby wild or abandoned apple and crabapple trees | Ensure good air circulation through proper tree spacing | Remove and dispose of any infected leaves or fruit at first sign of disease | Avoid wounding trees during pruning — wounds are entry points for the fungus | Plant less-susceptible apple varieties in areas with high disease history,"Captan (50 WP) at 2.5 g/L — apply every 10–14 days from pink stage through harvest | Mancozeb (Dithane M-45) at 2.5 g/L — contact protectant, ensure full coverage | Thiophanate-methyl (Topsin-M 70 WP) at 1 g/L — systemic benzimidazole fungicide | Trifloxystrobin (Flint 50 WG) at 0.1 g/L — strobilurin effective on fruit and foliage | Copper oxychloride (50 WP) at 3 g/L — effective on canker lesions on branches | Bordeaux mixture (1%) — spray on cankers during early season | Ziram (76 DF) at 3 g/L — contact fungicide in rotation programs | Apply fertiliser to maintain tree vigour and support recovery"
Apple,Black_rot,Maturity,Rot,136,FALSE,15.44,34.03,67.18,107.18,"Circular, purple to brown leaf spots with lighter tan centers (frog-eye appearance) | Leaf spots may have a yellow halo around the lesion | Small, black pycnidia (fungal fruiting bodies) visible within leaf spots | Cankers on branches — orange-brown, sunken, elliptical with rough cracked bark | Fruit rot starting as small purple spots enlarging to firm, black, mummified fruit | Alternating black and brown concentric rings on infected fruit | Mummified black fruit may remain attached to tree | Twig dieback with reddish-brown discoloration under bark",Remove and destroy mummified fruits from trees and orchard floor | Prune dead or diseased wood at least 15 cm below visible infection | Disinfect pruning tools with 70% alcohol between cuts to avoid spreading | Remove nearby wild or abandoned apple and crabapple trees | Ensure good air circulation through proper tree spacing | Remove and dispose of any infected leaves or fruit at first sign of disease | Avoid wounding trees during pruning — wounds are entry points for the fungus | Plant less-susceptible apple varieties in areas with high disease history,"Captan (50 WP) at 2.5 g/L — apply every 10–14 days from pink stage through harvest | Mancozeb (Dithane M-45) at 2.5 g/L — contact protectant, ensure full coverage | Thiophanate-methyl (Topsin-M 70 WP) at 1 g/L — systemic benzimidazole fungicide | Trifloxystrobin (Flint 50 WG) at 0.1 g/L — strobilurin effective on fruit and foliage | Copper oxychloride (50 WP) at 3 g/L — effective on canker lesions on branches | Bordeaux mixture (1%) — spray on cankers during early season | Ziram (76 DF) at 3 g/L — contact fungicide in rotation programs | Apply fertiliser to maintain tree vigour and support recovery"
Apple,Black_rot,Fruiting,Rot,135,FALSE,15.17,34.04,71.53,109.89,"Circular, purple to brown leaf spots with lighter tan centers (frog-eye appearance) | Leaf spots may have a yellow halo around the lesion | Small, black pycnidia (fungal fruiting bodies) visible within leaf spots | Cankers on branches — orange-brown, sunken, elliptical with rough cracked bark | Fruit rot starting as small purple spots enlarging to firm, black, mummified fruit | Alternating black and brown concentric rings on infected fruit | Mummified black fruit may remain attached to tree | Twig dieback with reddish-brown discoloration under bark",Remove and destroy mummified fruits from trees and orchard floor | Prune dead or diseased wood at least 15 cm below visible infection | Disinfect pruning tools with 70% alcohol between cuts to avoid spreading | Remove nearby wild or abandoned apple and crabapple trees | Ensure good air circulation through proper tree spacing | Remove and dispose of any infected leaves or fruit at first sign of disease | Avoid wounding trees during pruning — wounds are entry points for the fungus | Plant less-susceptible apple varieties in areas with high disease history,"Captan (50 WP) at 2.5 g/L — apply every 10–14 days from pink stage through harvest | Mancozeb (Dithane M-45) at 2.5 g/L — contact protectant, ensure full coverage | Thiophanate-methyl (Topsin-M 70 WP) at 1 g/L — systemic benzimidazole fungicide | Trifloxystrobin (Flint 50 WG) at 0.1 g/L — strobilurin effective on fruit and foliage | Copper oxychloride (50 WP) at 3 g/L — effective on canker lesions on branches | Bordeaux mixture (1%) — spray on cankers during early season | Ziram (76 DF) at 3 g/L — contact fungicide in rotation programs | Apply fertiliser to maintain tree vigour and support recovery"
